name
Addalachchenai 344/C
Addalachchenai Central
Mahaoya East
Mahaoya East 284
Mahaoya East 329/A
Mahaoya Ihala
Mahaoya Ihala 209/B
Mahaoya Ihala 329/B
Mahaoya Ihala 963/C
Mahaoya North 498/B
Mahaoya Pahala 251/B
Mahaoya South
Mahaoya West
Mahaoya West 399
Mahapitiya 405/A
Mahapitiya 565/C
Mahapitiya 840/A
Mahapitiya Central
Mahapitiya East 334/B
Mahapitiya East 39
Mahapitiya East 466/A
Mahapitiya Ihala
Mahapitiya North
Mahapitiya North 263/A
Mahapitiya South
Mahapitiya West 594/A
Mahapura
Mahapura Central 417
Mahapura East
Mahapura East 25/A
Mahapura East 36/A
Mahapura Ihala 211/A
Mahapura Ihala 225
Mahapura Ihala 353
Mahapura North
Mahapura North 786/B
Mahapura Pahala
Mahapura Pahala 79/B
Mahapura Pahala 907/A
Mahapura Pahala 957/A
Mahapura West
Mahapura West 210/A
Mahara
Mahara 482
Mahara Central 430
Mahara Central 545/A
Mahara Central 723/C
Mahara Central 792/C
Mahara East
Mahara East 224/B
Mahara Ihala 516/A
Mahara Ihala 603/C
Mahara Ihala 805
Mahara Ihala 860/B
Mahara North
Mahara North 248
Mahara North 917/C
Mahara South 409/A
Mahara South 459/C
Mahara South 777
Mahara West 184/B
Maharagama 276/A
Maharagama 505
Maharagama 801/B
Maharagama Central 592/B
Maharagama East 151/B
Maharagama East 624
Maharagama Ihala
Maharagama Ihala 846
Maharagama North 330
Maharagama North 386/C
Maharagama Pahala 873/B
Maharagama Pahala 955/A
Maharagama South
Maharagama South 440/C
Maharagama West
Maharagama West 330/C
Mahatota 596/B
Mahatota 610/C
Mahatota 697/B
Mahatota 776/B
Mahatota Central
Mahatota Central 533/A
Mahatota East 277
Mahatota Ihala
Mahatota Ihala 252/A
Mahatota North 150/B
Mahatota North 176
Mahatota Pahala 104/C
Mahatota Pahala 343/B
Mahatota Pahala 677
Mahatota Pahala 72/C
Mahatota South 973
Mahatota West 982/A
Mahawatta 414/B
Mahawatta Central
Mahawatta Central 467/C
Mahawatta East
Mahawatta East 2/C
Mahawatta East 553
Mahawatta East 732/A
Mahawatta Ihala
Mahawatta North
Mahawatta North 731/C
Mahawatta North 943/A
Mahawatta Pahala
Mahawatta Pahala 495
Mahawatta Pahala 975/A
Mahawatta West
Mahawatta West 852/A
Mahawela
Mahawela 34
Mahawela Central 113/A
Mahawela Central 411
Mahawela Central 466/A
Mahawela Ihala
Mahawela Ihala 482/C
Mahawela Pahala
Mahawela West 778/A
Mahawewa 709/C
Mahawewa Central 417/B
Mahawewa East
Mahawewa Ihala 989/C
Mahawewa North
Mahawewa North 352
Mahawewa North 371/A
Mahawewa Pahala
Mahawewa Pahala 270
Mahawewa Pahala 566
Mahawewa Pahala 590/A
Mahawewa Pahala 908/B
Mahawewa South 227/C
Mahawewa South 733
Mahawewa West 517
Mahawewa West 68/C
Mahiyanganaya Central
Mahiyanganaya Central 36/B
Mahiyanganaya Central 79/C
Mahiyanganaya East 106/A
Mahiyanganaya East 292/C
Mahiyanganaya East 613/C
Mahiyanganaya Ihala
Mahiyanganaya Ihala 139/C
Mahiyanganaya Ihala 214/C
Mahiyanganaya Ihala 592
Mahiyanganaya North 54
Mahiyanganaya North 563/B
Mahiyanganaya Pahala
Mahiyanganaya Pahala 552/C
Mahiyanganaya Pahala 866
Mahiyanganaya South 440/A
Mahiyanganaya South 653/B
Mahiyanganaya South 960/A
Mahiyanganaya West 719/B
Mahiyanganaya West 913/B
Mahiyanganaya West 972/B
Maho
Maho 586
Maho 602/C
Maho 940/A
Maho Central 436/B
Maho East
Maho East 732/C
Maho Ihala 392/B
Maho Ihala 884
Maho North
Maho North 359/C
Maho North 381/B
Maho Pahala 514/A
Maho Pahala 669/C
Maho Pahala 848/C
Maho South 282
Maho South 479
Malimbada
Malimbada 460
Malimbada 709/A
Malimbada 880
Malimbada Central
Malimbada Central 147/C
Malimbada East 384/C
Malimbada East 4/B
Malimbada East 489/C
Malimbada Ihala
Malimbada Ihala 75/A
Malimbada North 256/B
Malimbada North 33/A
Malimbada North 652
Malimbada South 46/C
Malimbada South 86/C
Malimbada West
Malimbada West 582/C
Manmunai 297
Manmunai Central 155/A
Manmunai Central 243/A
Manmunai Central 664
Manmunai Central 686/C
Manmunai East 598/C
Manmunai Ihala
Manmunai Ihala 34/B
Manmunai Ihala 651/B
Manmunai North
Manmunai North 499/C
Manmunai Pahala 683/C
Manmunai Pahala 721/B
Manmunai Pahala 872/A
Manmunai West
Mannar Central
Mannar East
Mannar East 33/A
Mannar East 771/C
Mannar Ihala
Mannar Ihala 223
Mannar Ihala 592/C
Mannar North 158
Mannar North 398
Mannar North 880/C
Mannar Pahala
Mannar Pahala 500/B
Mannar Pahala 998/A
Mannar South
Mannar West
Manthai East
Manthai East 504
Manthai East Central 118
Manthai East Central 448
Manthai East East
Manthai East East 398/A
Manthai East East 661/B
Manthai East East 999
Manthai East Ihala 545/C
Manthai East Ihala 71
Manthai East Ihala 805
Manthai East North 144/B
Manthai East North 986/A
Manthai East Pahala 204/A
Manthai East Pahala 358
Manthai East Pahala 461
Manthai East South
Manthai East South 530/A
Manthai East South 577
Manthai East South 821/C
Manthai West 412/A
Manthai West Central
Manthai West Central 229/C
Manthai West East 378/C
Manthai West East 606
Manthai West East 619/C
Manthai West Ihala 77/C
Manthai West Ihala 837/C
Manthai West North
Manthai West North 467/A
Manthai West North 68/B
Manthai West North 73
Manthai West Pahala 306/B
Manthai West South
Manthai West South 676/A
Manthai West West
Manthai West West 72/A
Maritimepattu
Maritimepattu 186/B
Maritimepattu 762
Maritimepattu East
Maritimepattu Ihala 450/A
Maritimepattu Ihala 539/C
Maritimepattu Ihala 931/C
Maritimepattu North
Maritimepattu North 413/A
Maritimepattu North 645
Maritimepattu Pahala
Maritimepattu Pahala 168
Maritimepattu Pahala 554
Maritimepattu Pahala 996/C
Maritimepattu South 124
Maritimepattu South 177
Maritimepattu South 384/C
Maruthankarney 285
Maruthankarney 90/C
Maruthankarney Central 468
Maruthankarney Central 486
Maruthankarney East 580/C
Maruthankarney Ihala
Maruthankarney Ihala 423
Maruthankarney Ihala 503/B
Maruthankarney Ihala 64/A
Maruthankarney North 301/B
Maruthankarney Pahala
Maruthankarney Pahala 209/B
Maruthankarney Pahala 779/C
Maruthankarney Pahala 897/C
Maruthankarney South
Maruthankarney South 110/B
Maruthankarney West 106/B
Maruthankarney West 601/A
Maruthankarney West 642
Maruthankarney West 794/C
Matale
Matale 879/B
Matale Central 886/B
Matale East
Matale East 409/B
Matale East 640
Matale Ihala 553/B
Matale Ihala 569
Matale Ihala 735/C
Matale Ihala 811
Matale Ihala 972/C
Matale North
Matale South 400/C
Matale South 42/B
Matale South 787
Matale West
Matale West 549/A
Matara
Matara 235
Matara 626/C
Matara 978
Matara Central
Matara East
Matara East 189/A
Matara East 32/C
Matara East 526/C
Matara East 771
Matara East 878
Matara East 880
Matara East 966
Matara Ihala
Matara Ihala 103/B
Matara Ihala 614/B
Matara North
Matara North 465/C
Matara Pahala
Matara Pahala 864/B
Matara Pahala 962
Matara South
Matara South 373/C
Matara South 953/A
Matara West
Matara West 909/A
Matugama 634
Matugama Central
Matugama Central 297/B
Matugama East 584/C
Matugama Ihala
Matugama Ihala 103/B
Matugama Ihala 94
Matugama North
Matugama Pahala
Matugama Pahala 528/B
Matugama South
Matugama South 493/A
Matugama South 502/B
Matugama South 775/B
Mawanella
Mawanella 430/A
Mawanella Central 543/C
Mawanella Central 569
Mawanella Central 70/B
Mawanella East
Mawanella Ihala
Mawanella Ihala 556/C
Mawanella Pahala
Mawanella Pahala 387/A
Mawanella South 459/A
Mawanella South 712/C
Mawanella West 288/A
Mawanella West 520/B
Mawathagama
Mawathagama 430/A
Mawathagama 655/B
Mawathagama Central 264
Mawathagama Central 577/A
Mawathagama Central 88
Mawathagama Central 889/A
Mawathagama East 178/A
Mawathagama East 337/B
Mawathagama East 412/A
Mawathagama East 819
Mawathagama East 87
Mawathagama Ihala 890
Mawathagama North
Mawathagama North 864/C
Mawathagama Pahala 208/B
Mawathagama Pahala 255
Mawathagama South
Mawathagama South 523/A
Mawathagama West 399/A
Medadeniya Central 201
Medadeniya Ihala 266/C
Medadeniya Ihala 781
Medadeniya North 840/B
Medadeniya North 984
Medadeniya Pahala
Medadeniya West
Medadeniya West 64/B
Medagala 511
Medagala 52/A
Medagala Central 666/A
Medagala East 366/A
Medagala East 467
Medagala East 565/B
Medagala Ihala
Medagala Ihala 253
Medagala Ihala 50/A
Medagala North 308/C
Medagala Pahala 497/B
Medagala Pahala 763/B
Medagala West 840
Medagama 69/A
Medagama 911/C
Medagama Central 371/A
Medagama Central 734/B
Medagama Central 751
Medagama East
Medagama East 100
Medagama Ihala
Medagama Ihala 270
Medagama Ihala 504/B
Medagama Ihala 540/B
Medagama North 566/B
Medagama North 588/B
Medagama North 714/A
Medagama North 995/C
Medagama Pahala
Medagama Pahala 272
Medagama Pahala 444/B
Medagama Pahala 770/C
Medagama South
Medagama South 189
Medagama South 366
Medagama South 705/B
Medagama South 764
Medagama South 982/C
Medagama West
Medagama West 243/A
Medagama West 498/B
Medagamuwa
Medagamuwa East
Medagamuwa East 714/C
Medagamuwa North
Medagamuwa Pahala
Medagamuwa Pahala 565/A
Medagamuwa Pahala 634/C
Medagamuwa West 841/B
Medagedara
Medagedara Central
Medagedara Central 609/A
Medagedara Ihala 115/A
Medagedara Ihala 466
Medagedara South
Medagedara South 483
Medagedara West
Medagoda 127/A
Medagoda 990/A
Medagoda Central
Medagoda East
Medagoda East 53/B
Medagoda Ihala 820/A
Medagoda West
Medahena Ihala
Medahena North 439
Medahena Pahala 494/A
Medahena Pahala 608
Medahena South
Medahena West
Medahena West 618/C
Medahena West 633
Medakaduwa 81
Medakaduwa East 285
Medakaduwa East 939/C
Medakaduwa North
Medakaduwa Pahala
Medakaduwa Pahala 173/A
Medakaduwa South 270/A
Medakaduwa West 767
Medakanda Central
Medakanda Central 462/A
Medakanda Central 759/A
Medakanda Central 944/C
Medakanda East
Medakanda Ihala
Medakanda Ihala 225/A
Medakanda Ihala 282/B
Medakanda Ihala 703/C
Medakanda Ihala 758/C
Medakanda North
Medakanda North 176/B
Medakanda North 57/B
Medakanda Pahala
Medakanda South
Medakanda South 242/B
Medakanda South 568
Medakanda South 640/B
Medakanda West 142/A
Medakanda West 834
Medakumbura
Medakumbura 796/B
Medakumbura East 650/B
Medakumbura Ihala
Medakumbura Ihala 445/C
Medakumbura North
Medakumbura North 223
Medakumbura West 145/A
Medamulla 671
Medamulla Central 921/C
Medamulla East 199
Medamulla East 212/A
Medamulla East 489/B
Medamulla Ihala 759/B
Medamulla Ihala 978
Medamulla North 130/C
Medamulla Pahala 782/B
Medamulla West 827/A
Medamulla West 984/C
Medaoya 433
Medaoya 448/A
Medaoya 727/C
Medaoya 868/A
Medaoya Central
Medaoya Central 856/B
Medaoya East
Medaoya Ihala
Medaoya North
Medaoya North 288/A
Medaoya North 839
Medaoya North 867/C
Medaoya West
Medaoya West 462/B
Medapitiya
Medapitiya East 150
Medapitiya Ihala 570
Medapitiya Ihala 824/C
Medapitiya North
Medapitiya North 842/A
Medapitiya South
Medapura
Medapura 116
Medapura Central 168/C
Medapura East 889/B
Medapura Ihala
Medapura Ihala 347/A
Medapura North
Medapura North 918/B
Medapura Pahala 177/B
Medapura Pahala 978/C
Medapura South 332
Medapura South 990/C
Medapura West
Medatota
Medatota Central 135/A
Medatota Central 392
Medatota East 992/B
Medatota Ihala
Medatota Ihala 456/B
Medatota Ihala 807
Medatota North 148
Medatota North 285/C
Medatota North 524
Medatota Pahala 326/A
Medatota Pahala 690
Medatota Pahala 846/C
Medatota South
Medatota South 191/B
Medatota West
Medawachchiya
Medawachchiya 309/B
Medawachchiya 871/A
Medawachchiya Central
Medawachchiya Central 696/C
Medawachchiya Central 81/B
Medawachchiya East 556/C
Medawachchiya East 650
Medawachchiya Ihala
Medawachchiya Ihala 28/B
Medawachchiya North 147/C
Medawachchiya North 95/C
Medawachchiya Pahala
Medawachchiya Pahala 796
Medawachchiya South 268/C
Medawachchiya South 337/C
Medawachchiya South 344/B
Medawachchiya South 871/C
Medawachchiya West 269
Medawachchiya West 28
Medawachchiya West 283/C
Medawatta
Medawatta 313/B
Medawatta 751
Medawatta 771/A
Medawatta Central
Medawatta Central 686
Medawatta East 119
Medawatta Pahala
Medawatta Pahala 106
Medawatta Pahala 359/C
Medawatta South
Medawatta West
Medawatta West 718/A
Medawela 179/C
Medawela 248/C
Medawela Central 310/B
Medawela Central 824
Medawela Central 864/A
Medawela East
Medawela East 984/B
Medawela Ihala
Medawela North
Medawela North 447/C
Medawela North 79
Medawela Pahala
Medawela Pahala 789/A
Medawela Pahala 90/C
Medawela South
Medawela South 629/C
Medawela South 902/A
Medawela West 360
Medirigiriya
Medirigiriya 205
Medirigiriya 532
Medirigiriya 606/C
Medirigiriya Central
Medirigiriya Central 780/C
Medirigiriya Central 860
Medirigiriya East 11/B
Medirigiriya East 754/A
Medirigiriya East 772/A
Medirigiriya East 883/B
Medirigiriya Ihala 490
Medirigiriya North
Medirigiriya Pahala 88/B
Medirigiriya Pahala 993/B
Medirigiriya South 568/C
Medirigiriya West 887/C
Meegahakivula
Meegahakivula 450/A
Meegahakivula East 275/B
Meegahakivula East 603/B
Meegahakivula Ihala
Meegahakivula Ihala 397
Meegahakivula North
Meegahakivula North 888/A
Meegahakivula Pahala 571/C
Meegahakivula South
Meegahakivula South 45/C
Meegahakivula South 576/A
Meegahakivula West
Meegahakivula West 979/A
Mihintale
Mihintale 278/B
Mihintale 737/A
Mihintale 860
Mihintale 883/C
Mihintale Central 319/B
Mihintale Central 573/C
Mihintale Central 868/C
Mihintale East
Mihintale Ihala
Mihintale Ihala 656/A
Mihintale North 559
Mihintale North 691/C
Mihintale South
Mihintale South 310/C
Mihintale South 519
Mihintale South 625/C
Mihintale South 732/B
Mihintale West 452/B
Minuwangoda Central
Minuwangoda Central 739/B
Minuwangoda East
Minuwangoda East 133/C
Minuwangoda East 568/A
Minuwangoda Ihala
Minuwangoda Ihala 155/A
Minuwangoda Ihala 415/C
Minuwangoda North 159
Minuwangoda North 599/A
Minuwangoda Pahala 227/A
Minuwangoda South
Minuwangoda South 240/A
Minuwangoda South 314/B
Minuwangoda South 423/C
Minuwangoda South 735/B
Minuwangoda South 810
Minuwangoda West
Minuwangoda West 483/B
Minuwangoda West 795
Mirigama 934/C
Mirigama Central
Mirigama Central 693
Mirigama East
Mirigama East 959/C
Mirigama Ihala
Mirigama Ihala 667/B
Mirigama Ihala 811
Mirigama Ihala 856
Mirigama North
Mirigama North 391/B
Mirigama North 410
Mirigama North 826
Mirigama Pahala 536
Mirigama Pahala 582/A
Mirigama Pahala 775
Mirigama Pahala 836/C
Mirigama South 163
Mirigama West
Monaragala
Monaragala Central
Monaragala Central 48/A
Monaragala East
Monaragala East 647/C
Monaragala East 789/C
Monaragala Ihala 320/B
Monaragala Ihala 366
Monaragala Ihala 949/B
Monaragala North
Monaragala North 506
Monaragala North 809/B
Monaragala South 695/B
Monaragala South 869/A
Monaragala West
Monaragala West 284/A
Monaragala West 336/B
Moratuwa Central
Moratuwa Central 255/C
Moratuwa Central 537/C
Moratuwa Central 637/B
Moratuwa Central 667/C
Moratuwa Central 771/C
Moratuwa Central 958
Moratuwa East
Moratuwa East 108/A
Moratuwa Ihala 849/C
Moratuwa North 577/C
Moratuwa Pahala
Moratuwa Pahala 533
Moratuwa Pahala 586/A
Moratuwa South
Moratuwa South 111/A
Moratuwa South 169/C
Moratuwa South 246/C
Moratuwa South 908/C
Moratuwa West
Moratuwa West 367/C
Moratuwa West 507/B
Morawewa 576/C
Morawewa Central
Morawewa Central 530/C
Morawewa East
Morawewa East 300/B
Morawewa Ihala
Morawewa North
Morawewa North 238
Morawewa North 540/A
Morawewa North 844/C
Morawewa Pahala 703
Morawewa Pahala 720/B
Morawewa South 296/C
Morawewa South 446/B
Morawewa South 591/C
Morawewa South 736
Morawewa West
Morawewa West 452
Mulatiyana 662/A
Mulatiyana East
Mulatiyana East 154/B
Mulatiyana East 584/B
Mulatiyana East 637/C
Mulatiyana East 700/C
Mulatiyana East 981/A
Mulatiyana Ihala
Mulatiyana Ihala 396/C
Mulatiyana North
Mulatiyana North 210/B
Mulatiyana Pahala
Mulatiyana Pahala 331/A
Mulatiyana South
Mulatiyana West
Mulatiyana West 514/C
Mullaitivu
Mullaitivu Central 455/B
Mullaitivu East 7/C
Mullaitivu Ihala
Mullaitivu Ihala 607/C
Mullaitivu North
Mullaitivu North 391/A
Mullaitivu North 54/A
Mullaitivu North 647
Mullaitivu Pahala
Mullaitivu Pahala 348/C
Mullaitivu Pahala 401/C
Mullaitivu Pahala 666
Mullaitivu West 252/C
Mullaitivu West 738/B
Mundel 252
Mundel 423/A
Mundel 538/A
Mundel Central
Mundel Central 113
Mundel Central 160/A
Mundel East
Mundel Ihala 696/A
Mundel North 314/A
Mundel North 332/B
Mundel North 332/C
Mundel North 42/A
Mundel North 465
Mundel North 58/C
Mundel Pahala
Mundel Pahala 67/C
Mundel Pahala 809/A
Mundel Pahala 932/C
Mundel South 872/B
Mundel West
Musali 760/C
Musali Central 589
Musali Central 879/B
Musali Ihala 918/C
Musali North
Musali North 617/C
Musali Pahala
Musali Pahala 707/A
Musali South 593/B
Musali West 36/A
Musali West 922
Musali West 998/A
Mutur 410/C
Mutur 584
Mutur 674/C
Mutur Central 578/C
Mutur East
Mutur East 366/B
Mutur East 708
Mutur East 825/A
Mutur Ihala
Mutur Ihala 15/A
Mutur North 12/A
Mutur Pahala 429/C
Mutur South
Mutur South 585/C
Mutur West 423/A
Mutur West 432
Mutur West 458/B
Mutur West 540/A
Mutur West 570/A
Mutur West 830/A
Nallur
Nallur Central
Nallur Central 268/C
Nallur East
Nallur East 274
Nallur North
Nallur Pahala
Nallur Pahala 203
Nallur Pahala 429/A
Nallur South
Nallur South 509/B
Nallur West
Nallur West 311
Nanaddan
Nanaddan 241/B
Nanaddan 391/B
Nanaddan 869
Nanaddan Central
Nanaddan Central 102/B
Nanaddan Central 284/B
Nanaddan Central 30/A
Nanaddan East 210/A
Nanaddan East 648
Nanaddan Ihala
Nanaddan North 453/A
Nanaddan North 754/B
Nanaddan North 817/B
Nanaddan North 98
Nanaddan Pahala 176/A
Nanaddan Pahala 353
Nanaddan Pahala 472/C
Nanaddan Pahala 792/A
Nanaddan West 581
Narammala
Narammala Central
Narammala Central 10/B
Narammala Central 863/C
Narammala East
Narammala East 12
Narammala East 139/B
Narammala Ihala
Narammala North
Narammala North 664/B
Narammala Pahala
Narammala Pahala 610/A
Narammala Pahala 730/A
Narammala South
Narammala South 137/B
Narammala West 217
Narammala West 223/C
Narammala West 244/C
Narammala West 463
Narammala West 48/C
Narammala West 913/A
Narammala West 990/C
Nattandiya
Nattandiya 651/C
Nattandiya 682/A
Nattandiya Central
Nattandiya Central 54/A
Nattandiya Central 616/C
Nattandiya Central 68/B
Nattandiya East 154/A
Nattandiya East 377/B
Nattandiya East 524
Nattandiya Ihala
Nattandiya Ihala 129/C
Nattandiya Ihala 292/B
Nattandiya Ihala 840/B
Nattandiya Pahala
Nattandiya Pahala 111
Nattandiya Pahala 404
Nattandiya South 249/A
Nattandiya South 371/B
Nattandiya West
Nattandiya West 117/A
Nattandiya West 196
Nattandiya West 239/C
Nattandiya West 273/C
Nattandiya West 511/A
Nattandiya West 931/C
Naula
Naula East 284/C
Naula East 555
Naula Ihala 649/C
Naula Ihala 761/C
Naula North
Naula North 621/C
Naula North 958/B
Naula Pahala 399
Naula South
Naula South 247
Naula South 656/B
Naula South 732/A
Naula South 836/B
Naula West
Naula West 257/A
Navagattegama
Navagattegama 206/B
Navagattegama 418/B
Navagattegama Central
Navagattegama Central 22/B
Navagattegama Central 49/B
Navagattegama East
Navagattegama Ihala
Navagattegama Ihala 214/B
Navagattegama Ihala 966/B
Navagattegama North
Navagattegama North 347/B
Navagattegama North 729/B
Navagattegama Pahala
Navagattegama Pahala 421/C
Navagattegama Pahala 439/A
Navagattegama Pahala 949
Navagattegama West 644/A
Navagattegama West 959/A
Navithanveli 170/B
Navithanveli 559
Navithanveli Central 168/B
Navithanveli Central 285/A
Navithanveli Central 686/A
Navithanveli East
Navithanveli East 110/C
Navithanveli East 352
Navithanveli East 609/B
Navithanveli Ihala
Navithanveli Ihala 260
Navithanveli Ihala 423
Navithanveli Ihala 941/B
Navithanveli North 504/B
Navithanveli North 687
Navithanveli North 812/C
Navithanveli Pahala 374/B
Navithanveli Pahala 78/C
Navithanveli Pahala 972
Navithanveli South
Navithanveli South 60
Navithanveli South 735/B
Navithanveli South 763
Navithanveli South 990/A
Navithanveli West
Nawaladeniya 379/B
Nawaladeniya 905/B
Nawaladeniya East
Nawaladeniya Ihala 180/A
Nawaladeniya Ihala 505
Nawaladeniya Pahala
Nawaladeniya South
Nawaladeniya South 624
Nawaladeniya West
Nawalagala
Nawalagala 571/B
Nawalagala 950/C
Nawalagala Central
Nawalagala East
Nawalagala North 200/A
Nawalagala Pahala
Nawalagala Pahala 189
Nawalagala Pahala 385/C
Nawalagala Pahala 862/B
Nawalagala South 536
Nawalagala West
Nawalagala West 790/C
Nawalagama
Nawalagama 467
Nawalagama Central 534
Nawalagama Central 864
Nawalagama East
Nawalagama Pahala 514/B
Nawalagama Pahala 919/C
Nawalagama Pahala 967
Nawalagama South
Nawalagama South 100/C
Nawalagama South 737/A
Nawalagama West
Nawalagama West 476
Nawalagama West 489/C
Nawalagamuwa
Nawalagamuwa Central
Nawalagamuwa Central 509/C
Nawalagamuwa Central 83
Nawalagamuwa East
Nawalagamuwa East 342/A
Nawalagamuwa North 688/B
Nawalagamuwa Pahala 12/A
Nawalagamuwa Pahala 383/B
Nawalagamuwa South
Nawalagamuwa West 145/C
Nawalagedara
Nawalagedara 572/B
Nawalagedara Central
Nawalagedara Central 605/C
Nawalagedara East 861/A
Nawalagedara Ihala 831/A
Nawalagedara North 349
Nawalagedara Pahala 113/B
Nawalagedara Pahala 678
Nawalagedara South 792/A
Nawalagedara West
Nawalagoda 16
Nawalagoda 672
Nawalagoda 763/C
Nawalagoda Central 821/A
Nawalagoda East 932/B
Nawalagoda East 950/C
Nawalagoda Ihala
Nawalagoda Ihala 20
Nawalagoda North 237/B
Nawalagoda Pahala
Nawalagoda Pahala 857/B
Nawalagoda West
Nawalagoda West 333
Nawalahena 544/A
Nawalahena Central
Nawalahena East 118/A
Nawalahena Ihala 231/B
Nawalahena Ihala 600/C
Nawalahena South
Nawalahena South 221/A
Nawalahena South 279
Nawalahena South 577/C
Nawalahena South 777/C
Nawalahena South 951/C
Nawalahena West
Nawalakaduwa Central 759/B
Nawalakaduwa East
Nawalakaduwa East 387
Nawalakaduwa East 428/A
Nawalakaduwa East 773/B
Nawalakaduwa East 935
Nawalakaduwa Ihala 327
Nawalakaduwa Ihala 420/C
Nawalakaduwa North 848/A
Nawalakaduwa Pahala 424/A
Nawalakaduwa Pahala 62/C
Nawalakaduwa South 266/A
Nawalakanda
Nawalakanda Central
Nawalakanda Central 247
Nawalakanda Central 363
Nawalakanda East
Nawalakanda East 397/B
Nawalakanda East 663/A
Nawalakanda East 819/C
Nawalakanda Ihala
Nawalakanda North
Nawalakanda Pahala
Nawalakanda Pahala 789/C
Nawalakanda Pahala 834/B
Nawalakanda South 172/B
Nawalakanda West 121
Nawalakanda West 138
Nawalakanda West 73/C
Nawalakanda West 787/B
Nawalakumbura 514/B
Nawalakumbura Central
Nawalakumbura East 140/C
Nawalakumbura Ihala
Nawalakumbura Ihala 398
Nawalakumbura North
Nawalakumbura Pahala
Nawalakumbura Pahala 88
Nawalakumbura South
Nawalakumbura South 584
Nawalakumbura South 95
Nawalakumbura West 767/B
Nawalakumbura West 931/B
Nawalamulla Central 159/B
Nawalamulla Central 730
Nawalamulla Ihala 247/A
Nawalamulla Ihala 434
Nawalamulla Ihala 647/B
Nawalamulla North 37/A
Nawalamulla North 702/B
Nawalamulla North 743/B
Nawalamulla North 823/C
Nawalamulla Pahala
Nawalamulla West 129
Nawalamulla West 540/B
Nawalaoya 627/B
Nawalaoya 68/B
Nawalaoya 921
Nawalaoya Central
Nawalaoya East 262/C
Nawalaoya Ihala
Nawalaoya Ihala 549/A
Nawalaoya North 179/A
Nawalaoya North 859/C
Nawalaoya Pahala 253/B
Nawalaoya Pahala 294
Nawalaoya Pahala 597/B
Nawalaoya South 935/A
Nawalaoya West 761/A
Nawalapitiya 360
Nawalapitiya Central 295
Nawalapitiya Central 471/A
Nawalapitiya East 31
Nawalapitiya East 547
Nawalapitiya Ihala
Nawalapitiya Ihala 461/A
Nawalapitiya Ihala 896/C
Nawalapitiya Ihala 965
Nawalapitiya North 155
Nawalapitiya North 826
Nawalapitiya North 919/C
Nawalapitiya Pahala
Nawalapitiya Pahala 223
Nawalapitiya Pahala 568
Nawalapitiya Pahala 571
Nawalapitiya Pahala 645/A
Nawalapitiya Pahala 713/A
Nawalapitiya South
Nawalapitiya South 319
Nawalapitiya South 380
Nawalapitiya South 461/C
Nawalapitiya South 622/C
Nawalapitiya South 649/B
Nawalapitiya West 642/C
Nawalapitiya West 721/C
Nawalapitiya West 95/B
Nawalapura 35
Nawalapura 368/A
Nawalapura Central 446/A
Nawalapura East
Nawalapura Ihala 600
Nawalapura North 236/C
Nawalapura North 978/C
Nawalapura Pahala
Nawalapura West
Nawalapura West 286
Nawalapura West 31/C
Nawalapura West 714/B
Nawalatota 422/B
Nawalatota 566
Nawalatota 906/B
Nawalatota Central 169
Nawalatota East 69/C
Nawalatota East 723/B
Nawalatota Ihala
Nawalatota Ihala 204
Nawalatota North 105
Nawalatota North 523/C
Nawalatota Pahala
Nawalatota Pahala 32/A
Nawalatota Pahala 788
Nawalatota Pahala 825/C
Nawalatota South
Nawalatota South 997/A
Nawalatota West
Nawalatota West 813/B
Nawalatota West 98/A
Nawalawatta
Nawalawatta 340/B
Nawalawatta 59
Nawalawatta 941/C
Nawalawatta Central 400/B
Nawalawatta Central 497/A
Nawalawatta East
Nawalawatta Ihala
Nawalawatta Ihala 317/A
Nawalawatta Ihala 743/A
Nawalawatta Ihala 914/B
Nawalawatta North
Nawalawatta South
Nawalawatta West
Nawalawatta West 529/C
Nawalawela
Nawalawela 325/C
Nawalawela 591/C
Nawalawela 969
Nawalawela Central 151/B
Nawalawela East
Nawalawela East 902/B
Nawalawela East 956
Nawalawela Ihala 407/C
Nawalawela North 72/A
Nawalawela North 864/B
Nawalawela Pahala
Nawalawela Pahala 164/A
Nawalawela Pahala 63/C
Nawalawela West 210/B
Nawalawela West 392/A
Nawalawela West 580/C
Negombo
Negombo 108/C
Negombo 217/A
Negombo 277/A
Negombo 770
Negombo 850/B
Negombo Central 153/C
Negombo Central 7
Negombo Central 776/C
Negombo Central 805/C
Negombo Ihala
Negombo North 622
Negombo North 937/B
Negombo Pahala
Negombo Pahala 401/B
Negombo Pahala 969
Negombo West
Neluwa 598
Neluwa 655
Neluwa Central
Neluwa Central 586/B
Neluwa Central 8/A
Neluwa East 166
Neluwa East 216
Neluwa East 437/B
Neluwa East 51/C
Neluwa East 730/A
Neluwa Ihala
Neluwa Ihala 289/C
Neluwa North
Neluwa North 142/B
Neluwa North 400
Neluwa Pahala
Neluwa Pahala 264/A
Neluwa Pahala 300/B
Neluwa Pahala 438
Neluwa South
Neluwa South 67/C
Neluwa South 792/C
Neluwa West
Nikaweratiya 392/A
Nikaweratiya 585/A
Nikaweratiya 622/C
Nikaweratiya 962/A
Nikaweratiya 97
Nikaweratiya Central 250/A
Nikaweratiya Central 294/C
Nikaweratiya Central 329/A
Nikaweratiya East
Nikaweratiya East 192/B
